sale_date,class_id,train_k
201711.0,651782.0,10.0
201711.0,842246.0,100.0
201711.0,417803.0,100.0
201711.0,905745.0,10.0
201711.0,621073.0,2.0
201711.0,249875.0,10.0
201711.0,854548.0,100.0
201711.0,743957.0,0.3
201711.0,209945.0,20.0
201711.0,580634.0,10.0
201711.0,472603.0,5.0
201711.0,559132.0,2.0
201711.0,248352.0,0.3
201711.0,290854.0,3.0
201711.0,540712.0,2.0
201711.0,350259.0,20.0
201711.0,219195.0,10.0
201711.0,854079.0,30.0
201711.0,526401.0,1.0
201711.0,412240.0,10.0
201711.0,103507.0,2.0
201711.0,651347.0,3.0
201711.0,732758.0,3.0
201711.0,760412.0,2.0
201711.0,221795.0,100.0
201711.0,289386.0,1.0
201711.0,714860.0,1.0
201711.0,453752.0,5.0
201711.0,356986.0,2.0
201711.0,289403.0,2.0
201711.0,653436.0,10.0
201711.0,815230.0,30.0
201711.0,560265.0,2.0
201711.0,516750.0,20.0
201711.0,725137.0,100.0
201711.0,321683.0,5.0
201711.0,194201.0,0.3
201711.0,682651.0,5.0
201711.0,401052.0,100.0
201711.0,481950.0,0.3
201711.0,687270.0,2.0
201711.0,378536.0,100.0
201711.0,978089.0,2.0
201711.0,614059.0,3.0
201711.0,612523.0,100.0
201711.0,745137.0,0.3
201711.0,308913.0,5.0
201711.0,291514.0,100.0
201711.0,693436.0,100.0
201711.0,281792.0,20.0
201711.0,482497.0,5.0
201711.0,923841.0,1.0
201711.0,948936.0,1.0
201711.0,360648.0,3.0
201711.0,169673.0,0.3
201711.0,340175.0,100.0
201711.0,136916.0,0.1
201711.0,281301.0,30.0
201711.0,871642.0,30.0
201711.0,735971.0,3.0
201711.0,124140.0,100.0
201711.0,872180.0,100.0
201711.0,475895.0,0.3
201711.0,347384.0,100.0
201711.0,671482.0,2.0
201711.0,265980.0,1.0
201711.0,409854.0,20.0
201711.0,750340.0,10.0
201711.0,963845.0,20.0
201711.0,291086.0,20.0
201711.0,861459.0,10.0
201711.0,354068.0,100.0
201711.0,198427.0,30.0
201711.0,741152.0,5.0
201711.0,250658.0,10.0
201711.0,576298.0,20.0
201711.0,789290.0,2.0
201711.0,973106.0,100.0
201711.0,654134.0,20.0
201711.0,501564.0,1.0
201711.0,569154.0,100.0
201711.0,603972.0,100.0
201711.0,437063.0,100.0
201711.0,628041.0,3.0
201711.0,304458.0,30.0
201711.0,496459.0,30.0
201711.0,890189.0,2.0
201711.0,961362.0,10.0
201711.0,175962.0,100.0
201711.0,437598.0,3.0
201711.0,349023.0,100.0
201711.0,736094.0,3.0
201711.0,178529.0,10.0
201711.0,270690.0,10.0
201711.0,683364.0,5.0
201711.0,510309.0,10.0
201711.0,905061.0,100.0
201711.0,245609.0,20.0
201711.0,819061.0,20.0
201711.0,580470.0,100.0
201711.0,379265.0,1.0
201711.0,376193.0,0.3
201711.0,436105.0,2.0
201711.0,619401.0,3.0
201711.0,186250.0,0.3
201711.0,851857.0,100.0
201711.0,392593.0,1.0
201711.0,194450.0,1.0
201711.0,527765.0,0.3
201711.0,492952.0,3.0
201711.0,384924.0,0.3
201711.0,587678.0,20.0
201711.0,810398.0,5.0
201711.0,714150.0,3.0
201711.0,597927.0,20.0
201711.0,714152.0,3.0
201711.0,468392.0,100.0
201711.0,961962.0,10.0
201711.0,914348.0,100.0
201711.0,206765.0,2.0
201711.0,591790.0,3.0
201711.0,786351.0,0.3
201711.0,302513.0,2.0
201711.0,713651.0,10.0
201711.0,527809.0,10.0
201711.0,359378.0,0.3
201711.0,425432.0,100.0
201711.0,125403.0,10.0
201711.0,692703.0,100.0
201711.0,739296.0,5.0
201711.0,348641.0,100.0
201711.0,395234.0,5.0
201711.0,379876.0,2.0
201711.0,883691.0,100.0
201711.0,416749.0,5.0
201711.0,953842.0,1.0
201711.0,378356.0,5.0
201711.0,950264.0,20.0
201711.0,924154.0,0.3
201711.0,649213.0,0.3
